icao24,split,pairCount,sessionCount,assignmentOrder,datasetVariantID,policyVersion
406C3B,train,75,1,122,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406D70,train,33,1,123,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406D7B,validation,91,1,124,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406E0F,test,12,1,125,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406E11,train,1,1,126,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4073CE,train,6,1,127,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40742E,train,104,1,128,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40749A,validation,151,1,129,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4075B4,test,146,2,130,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4075C1,train,83,1,131,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407698,train,111,3,132,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4077D3,train,39,2,133,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4078DD,validation,2,1,134,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4078DE,test,41,2,135,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40797C,train,102,1,136,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407992,train,64,2,137,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407993,train,42,1,138,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4079CC,validation,18,1,139,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4079CD,test,61,1,140,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407CD2,train,120,1,141,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407DA5,train,123,1,142,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407E21,train,1,1,143,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407EA1,validation,101,1,144,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
407ED8,test,165,2,145,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
408016,train,236,1,146,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4080A2,train,44,1,147,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4080BB,train,127,3,148,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
408121,validation,238,2,149,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
42450D,test,1,1,150,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
424B9B,train,64,1,151,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
424C87,train,1,1,152,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
43BEA5,train,225,1,153,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44001E,validation,52,1,154,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44003B,test,39,1,155,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44003F,train,188,1,156,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44019A,train,198,1,157,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
440251,train,270,1,158,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44046E,validation,125,1,159,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44B028,test,154,1,160,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44B0B4,train,55,1,161,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44CCD0,train,79,1,162,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
44CCD1,train,126,3,163,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
461F08,validation,164,2,164,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
461F09,test,127,1,165,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
461F0C,train,41,1,166,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
478854,train,23,1,167,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
478F43,train,280,2,168,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
478F5C,validation,63,1,169,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
47AE38,test,112,2,170,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
47C1C2,train,196,2,171,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
48436C,train,74,1,172,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
485000,train,36,1,173,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4851B0,validation,54,1,174,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
485344,test,46,1,175,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
485B44,train,25,1,176,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
485E2D,train,229,2,177,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
485E2E,train,38,1,178,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
486072,validation,107,1,179,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
48AE06,test,66,1,180,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
48AE24,train,7,1,181,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
490D83,train,251,1,182,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4932D3,train,55,1,183,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4951EF,validation,185,4,184,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4951F0,test,283,2,185,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495266,train,109,1,186,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495268,train,178,2,187,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4952A9,train,184,1,188,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4952AB,validation,4,1,189,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4952AF,test,82,1,190,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495302,train,108,1,191,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495303,train,296,1,192,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495305,train,125,1,193,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
495307,validation,489,3,194,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
49530A,test,164,2,195,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
49530B,train,241,1,196,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
49530C,train,38,1,197,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
49530D,train,260,2,198,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4A2D24,validation,159,1,199,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4A91AF,test,41,1,200,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4A91B3,train,120,2,201,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4ACA68,train,175,1,202,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B187A,train,41,1,203,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B187D,validation,232,1,204,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B1880,test,142,2,205,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B1884,train,419,2,206,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B1885,train,12,1,207,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4B1900,train,125,1,208,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BA945,validation,53,1,209,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BA949,test,70,1,210,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB0E9,train,374,2,211,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB105,train,17,1,212,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB143,train,2,1,213,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB144,validation,447,4,214,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB148,test,154,1,215,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB181,train,54,1,216,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB184,train,240,2,217,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB18B,train,43,1,218,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4BB470,validation,61,1,219,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4C0223,test,240,1,220,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4C0224,train,11,1,221,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA5C7,train,235,1,222,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA614,train,165,2,223,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA615,validation,51,1,224,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA74E,test,25,1,225,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA842,train,282,2,226,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA9BA,train,343,2,227,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA9BC,train,80,1,228,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CA9CB,validation,410,1,229,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAA6D,test,122,1,230,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAAF1,train,343,2,231,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CABD1,train,220,2,232,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CABD2,train,135,2,233,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CABD3,validation,13,1,234,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CABD4,test,323,3,235,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CADC7,train,198,1,236,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CADFA,train,159,1,237,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAE29,train,497,2,238,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAE33,validation,50,1,239,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAE34,test,211,2,240,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAE35,train,111,2,241,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAEB8,train,326,2,242,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CAFFB,train,111,1,243,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC4A9,validation,65,1,244,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC50F,test,138,2,245,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC547,train,352,1,246,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC548,train,81,1,247,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC570,train,168,1,248,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC573,validation,89,1,249,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC586,test,192,1,250,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4CC587,train,813,2,251,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4D0102,train,10,1,252,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4D23B7,train,165,1,253,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4D24A9,validation,64,1,254,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
502D81,test,277,1,255,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
507C59,train,40,1,256,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
710110,train,106,1,257,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
710111,train,1,1,258,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
710119,validation,11,1,259,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7103D8,test,222,3,260,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C046,train,255,1,261,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C076,train,110,1,262,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C208,train,22,1,263,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C217,validation,9,1,264,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C250,test,13,1,265,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
71C275,train,115,1,266,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
738072,train,5,1,267,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
738075,train,1,1,268,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C1,validation,37,2,269,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C2,test,95,1,270,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C3,train,14,1,271,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C6,train,60,1,272,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C7,train,22,1,273,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380C8,validation,84,2,274,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380CA,test,57,1,275,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
7380CB,train,154,1,276,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
738103,train,22,1,277,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
738C0C,train,17,1,278,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
740821,validation,16,1,279,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
740826,test,14,1,280,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
76CCE2,train,87,1,281,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
76CCE6,train,1,1,282,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
76CCE7,train,84,1,283,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
76CEEF,validation,80,1,284,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
76CEF3,test,25,1,285,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
780D3C,train,64,1,286,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
780FF1,train,3,1,287,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
789216,train,340,2,288,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
789219,validation,23,1,289,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
789246,test,247,1,290,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
